name,focus,f,cx,cy
ZR0_0690_0728198162_034RAD_N0321184ZCAM08692_0340LMA01,1092,4753.98932546,24.0,44.0
ZR0_0690_0728198176_034RAD_N0321184ZCAM08692_0340LMA01,1092,4752.05690097,24.0,44.0
ZR0_0690_0728198191_035RAD_N0321184ZCAM08692_0340LMA01,1092,4757.35235425,24.0,44.0
ZR0_0690_0728198206_035RAD_N0321184ZCAM08692_0340LMA01,1092,4754.42102467,24.0,44.0
ZR0_0690_0728198220_069RAD_N0321184ZCAM08692_0340LMA01,1092,4754.87968967,24.0,44.0
ZR0_0690_0728198235_034RAD_N0321184ZCAM08692_0340LMA01,1092,4755.96222893,24.0,44.0
ZR0_0690_0728198250_035RAD_N0321184ZCAM08692_0340LMA01,1116,4757.24118274,24.0,44.0
ZR0_0690_0728198265_034RAD_N0321184ZCAM08692_0340LMA01,1116,4762.21938955,24.0,44.0
ZR0_0690_0728198278_034RAD_N0321184ZCAM08692_0340LMA01,1116,4745.26964517,24.0,44.0
ZR0_0692_0728371226_165RAD_N0321184ZCAM05086_0340LMA01,246,4710.72216306,24.0,44.0
ZR0_0692_0728371277_159RAD_N0321184ZCAM05086_0340LMA01,138,4723.87823724,24.0,44.0
ZR0_0692_0728371295_159RAD_N0321184ZCAM05086_0340LMA01,138,4709.6967942,24.0,44.0
ZR0_0692_0728371314_159RAD_N0321184ZCAM05086_0340LMA01,174,4701.31601403,24.0,44.0
ZR0_0692_0728371335_159RAD_N0321184ZCAM05086_0340LMA01,-72,4692.60909562,24.0,44.0
ZR0_0692_0728371353_160RAD_N0321184ZCAM05086_0340LMA01,12,4698.58006364,24.0,44.0
ZR0_0692_0728371372_159RAD_N0321184ZCAM05086_0340LMA01,12,4703.41699063,24.0,44.0
ZR0_0692_0728371386_159RAD_N0321184ZCAM05086_0340LMA01,-744,4662.13800258,24.0,44.0
ZR0_0692_0728371415_159RAD_N0321184ZCAM05086_0340LMA01,-744,4661.90352851,24.0,44.0
ZR0_0692_0728371432_159RAD_N0321184ZCAM05086_0340LMA01,-744,4665.04332509,24.0,44.0
ZR0_0692_0728371451_159RAD_N0321184ZCAM05086_0340LMA01,-1266,4638.80262956,24.0,44.0
ZR0_0692_0728371471_159RAD_N0321184ZCAM05086_0340LMA01,-1266,4636.57541556,24.0,44.0
ZR0_0692_0728371488_159RAD_N0321184ZCAM05086_0340LMA01,-1266,4630.56767292,24.0,44.0
ZR0_0692_0728371507_159RAD_N0321184ZCAM05086_0340LMA01,-366,4682.32208966,24.0,44.0
ZR0_0692_0728371532_159RAD_N0321184ZCAM05086_0340LMA01,-252,4687.00362853,24.0,44.0
ZR0_0692_0728371554_159RAD_N0321184ZCAM05086_0340LMA01,-624,4665.59976448,24.0,44.0
ZR0_0692_0728371570_160RAD_N0321184ZCAM05086_0340LMA01,-252,4685.91220566,24.0,44.0
ZR0_0692_0728371592_159RAD_N0321184ZCAM05086_0340LMA01,-390,4675.01878118,24.0,44.0
ZR0_0692_0728371613_159RAD_N0321184ZCAM05086_0340LMA01,-498,4668.30479024,24.0,44.0
ZR0_0692_0728371630_160RAD_N0321184ZCAM05086_0340LMA01,-780,4645.31006991,24.0,44.0
ZR0_0692_0728371651_159RAD_N0321184ZCAM05086_0340LMA01,-696,4653.78153984,24.0,44.0
ZR0_0692_0728371672_159RAD_N0321184ZCAM05086_0340LMA01,-660,4657.72036211,24.0,44.0
ZR0_0692_0728371693_159RAD_N0321184ZCAM05086_0340LMA01,-660,4653.38263414,24.0,44.0
ZR0_0692_0728371709_159RAD_N0321184ZCAM05086_0340LMA01,-1062,4650.02903047,24.0,44.0
ZR0_0692_0728371730_159RAD_N0321184ZCAM05086_0340LMA01,-1062,4646.26701781,24.0,44.0
ZR0_0692_0728371750_159RAD_N0321184ZCAM05086_0340LMA01,-840,4661.39111121,24.0,44.0
ZR0_0692_0728371774_159RAD_N0321184ZCAM05086_0340LMA01,-1116,4641.10191414,24.0,44.0
ZR0_0692_0728371795_160RAD_N0321184ZCAM05086_0340LMA01,-1062,4639.95802973,24.0,44.0
ZR0_0692_0728371817_159RAD_N0321184ZCAM05086_0340LMA01,-966,4653.16471172,24.0,44.0
ZR0_0692_0728371842_159RAD_N0321184ZCAM05086_0340LMA01,-1578,4611.92182875,24.0,44.0
ZR0_0692_0728371868_159RAD_N0321184ZCAM05086_0340LMA01,-1176,4636.95915934,24.0,44.0
ZR0_0692_0728371894_159RAD_N0321184ZCAM05086_0340LMA01,-1092,4630.34063808,24.0,44.0
ZR0_0692_0728371916_159RAD_N0321184ZCAM05086_0340LMA01,-1092,4629.41958022,24.0,44.0
ZR0_0692_0728371935_159RAD_N0321184ZCAM05086_0340LMA01,-1092,4631.03546911,24.0,44.0
ZR0_0692_0728371956_159RAD_N0321184ZCAM05086_0340LMA01,-1614,4607.81403702,24.0,44.0
ZR0_0692_0728371978_159RAD_N0321184ZCAM05086_0340LMA01,-1446,4618.65921672,24.0,44.0
ZR0_0692_0728372000_159RAD_N0321184ZCAM05086_0340LMA01,-1782,4609.45314097,24.0,44.0
ZR0_0692_0728372022_159RAD_N0321184ZCAM05086_0340LMA01,-1782,4604.41038225,24.0,44.0
ZR0_0692_0728372044_159RAD_N0321184ZCAM05086_0340LMA01,-1224,4632.0661376,24.0,44.0
ZR0_0692_0728372071_159RAD_N0321184ZCAM05086_0340LMA01,-1440,4621.68892159,24.0,44.0
