#Label	Enable	X	Y	Z	Omega	Phi	Kappa	Error_(m)	X_error	Y_error	Z_error	Error_(deg)	Omega_error	Phi_error	Kappa_error	X_est	Y_est	Z_est	Omega_est	Phi_est	Kappa_est
FLF_0443_0706278634_263RZS_N0250214FHAZ02008_0A0085J02.png	0	-2442.627700000	764.402200000	34.619600000																	
FLF_0448_0706723042_351RZS_N0250446FHAZ02008_0A0085J03.png	0	-2506.191100000	758.041700000	35.043400000																	
FLF_0449_0706811875_034RZS_N0260000FHAZ02008_0A1085J03.png	0	-2507.107000000	762.490100000	35.669200000																	
FLF_0452_0707076341_441RZS_N0260000FHAZ02008_0A0085J01.png	0	-2507.107200000	762.489700000	35.668100000																	
FLF_0455_0707342380_633RZS_N0260096FHAZ02418_0A0295J01.png	0	-2508.215600000	784.941200000	40.325600000																	
FLF_0456_0707431033_118RZS_N0260218FHAZ02008_0A0085J03.png	0	-2495.804100000	792.428000000	42.916200000																	
FLF_0457_0707519265_644RZS_N0260218FHAZ02418_0A0295J02.png	0	-2495.804100000	792.428000000	42.916200000																	
FLF_0460_0707782608_869RZS_N0260470FHAZ02418_0A0295J01.png	0	-2519.420900000	823.397800000	46.492000000																	
FLF_0461_0707870635_633RZS_N0260630FHAZ02008_0A0085J02.png	0	-2516.467300000	833.178200000	47.314800000																	
FLF_0464_0708138950_977RZS_N0260756FHAZ02008_0A00LLJ01.png	0	-2522.266300000	840.530200000	48.667400000																	
FLF_0471_0708753815_550RZS_N0260756FHAZ02008_0A0085J01.png	0	-2522.268400000	840.529400000	48.669700000																	
FLF_0474_0709026001_287RZS_N0260850FHAZ02008_0A1095J01.png	0	-2517.388300000	844.143700000	49.246800000																	
FLF_0477_0709296768_777RZS_N0261004FHAZ02008_0A00LLJ01.png	0	-2513.969400000	846.638400000	50.010000000																	
FLF_0491_0710536979_800RZS_N0261004FHAZ02008_0A0095J01.png	0	-2513.969900000	846.639700000	50.008800000																	
FLF_0494_0710796459_381RZS_N0261004FHAZ00911_0A0195J01.png	0	-2513.971000000	846.639300000	50.009400000																	
FLF_0501_0711423517_041RAD_N0261154FHAZ02418_0A0295J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043130000	0.009312523	0.003381128	-0.007152669	-0.004912270	0.184430412	0.177838943	0.043377701	0.022500276	-0.005788872	1.097127331	0.723927730	64.098088943	9.936827701	0.065630276
FLF_0501_0711423517_041RZS_N0261154FHAZ02418_0A0295J01.png	0	-2526.283700000	832.663400000	47.633300000																	
FLF_0502_0711507036_914RZS_N0261222FHAZ02008_0A0095J01.png	0	-2528.829300000	830.516100000	47.410200000																	
FLF_0504_0711684531_474RZS_N0261222FHAZ02008_0A0095J03.png	0	-2528.830200000	830.515500000	47.408400000																	
FLF_0510_0712219238_630RZS_N0261222FHAZ02008_0A0095J02.png	0	-2528.829800000	830.515900000	47.409200000																	
FLF_0517_0712839695_300RZS_N0261222FHAZ02008_0A0095J02.png	0	-2528.829800000	830.515900000	47.409300000																	
FLF_0521_0713171636_926RZS_N0261222FHAZ00712_0A1095J03.png	0	-2528.829400000	830.515400000	47.409500000																	
FLF_0535_0714442315_385RZS_N0261652FHAZ02418_0A0295J01.png	0	-2448.514400000	812.344900000	45.007700000																	
FLF_0536_0714531907_488RZS_N0262018FHAZ02418_0A0295J01.png	0	-2378.354700000	804.348000000	44.010900000																	
FLF_0538_0714707474_402RZS_N0262548FHAZ02418_0A0295J02.png	0	-2363.802100000	804.075100000	43.868900000																	
FLF_0539_0714797503_355RZS_N0263008FHAZ02418_0A0295J01.png	1																				
FLF_0541_0714977146_497RZS_N0263482FHAZ02418_0A0295J01.png	0	-2473.915500000	543.249100000	27.225400000																	
FLF_0542_0715061426_521RZS_N0264200FHAZ02418_0A0295J02.png	0	-2542.177900000	431.758300000	26.188300000																	
FLF_0548_0715600270_230RZS_N0265214FHAZ02418_0A0295J01.png	0	-2593.509000000	323.844200000	30.757100000																	
FLF_0552_0715953170_236RZS_N0265226FHAZ02418_0A0295J01.png	0	-2593.991000000	323.898700000	30.823000000																	
FLF_0555_0716219345_242RZS_N0270000FHAZ02418_0A0295J01.png	0	-2760.635800000	337.202200000	43.411200000																	
FLF_0556_0716311204_551RZS_N0270230FHAZ02418_0A0295J01.png	0	-2777.215500000	362.275700000	43.974800000																	
FLF_0557_0716393140_540RZS_N0280000FHAZ02008_0A0095J01.png	0	-2780.072300000	361.462600000	44.104200000																	
FLF_0564_0717017840_050RZS_N0280000FHAZ02008_0A0095J01.png	1																				
FLF_0565_0717106034_758RZS_N0290000FHAZ02008_0A1095J01.png	1																				
FLF_0575_0717997468_222RZS_N0290000FHAZ02008_0A0095J01.png	1																				
FLF_0579_0718353669_477RZS_N0290000FHAZ02008_0A0095J01.png	1																				
FLF_0592_0719501027_605RZS_N0290144FHAZ02418_0A0295J01.png	0	-2787.062500000	398.606800000	45.275500000																	
FLF_0593_0719589824_926RZS_N0290224FHAZ04247_0A0195J01.png	0	-2791.575500000	397.044700000	45.322500000																	
FLF_0593_0719590037_103RZS_N0290236FHAZ04247_0A0195J01.png	0	-2791.059800000	396.500200000	45.256300000																	
FLF_0593_0719590196_862RZS_N0290240FHAZ04247_0A0195J01.png	0	-2791.070100000	396.512700000	45.229800000																	
FLF_0593_0719590504_317RZS_N0290270FHAZ04247_0A0195J01.png	0	-2791.299200000	397.103500000	45.288400000																	
FLF_0593_0719593428_996RZS_N0300000FHAZ02008_0A0095J01.png	0	-2791.218000000	396.925000000	45.389600000																	
FLF_0606_0720748130_785RZS_N0301096FHAZ02418_0A0295J01.png	0	-2909.650900000	527.057500000	53.117200000																	
FLF_0609_0721019182_276RZS_N0301172FHAZ02008_0A2095J02.png	0	-2909.501200000	534.130600000	53.423900000																	
FLF_0629_0722797264_440RZS_N0302188FHAZ02418_0A0295J01.png	0	-2780.171500000	413.565700000	46.550100000																	
FLF_0644_0724119738_145RZS_N0310500FHAZ02418_0A0295J01.png	0	-2757.111000000	320.018700000	44.357000000																	
FLF_0645_0724201685_809RZS_N0310856FHAZ02418_0A0295J01.png	0	-2695.849400000	327.900600000	38.673200000																	
FLF_0647_0724384691_716RZS_N0312154FHAZ02418_0A0295J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043130000														
FLF_0649_0724551826_914RZS_N0320000FHAZ08111_0A0295J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043140000														
FLF_0649_0724551856_566RZS_N0320000FHAZ08111_0A1095J01.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043090000														
FLF_0650_0724653408_723RZS_N0320000FHAZ08111_0A0295J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043140000														
FLF_0650_0724653437_770RZS_N0320000FHAZ08111_0A0095J01.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043100000														
FLF_0652_0724829680_534RZS_N0320148FHAZ02418_0A0295J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043140000														
FLF_0654_0725000516_788RZS_N0320160FHAZ08111_0A0295J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043140000														
FLF_0654_0725000545_237RZS_N0320160FHAZ08111_0A0095J01.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043100000														
FLF_0654_0725006993_551RZS_N0320250FHAZ02008_0A1095J02.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043110000														
FLF_0658_0725352317_817RZS_N0320262FHAZ08111_0A0295J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043130000														
FLF_0658_0725352351_005RZS_N0320262FHAZ08111_0A0095J01.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043110000														
FLF_0658_0725363680_496RZS_N0320378FHAZ02008_0A20LLJ04.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043150000														
